prompt,checkpoint,dim,cosine,max_abs_err,mean_abs_err,rmse,l2_rel_err,first_divergence,status
TEST-E,ckpt21_block_10_ffn_residual,2560,0.99811878,0.639352,0.146414,0.182574,0.071055,YES,PASS
TEST-E,ckpt21_block_11_ffn_residual,2560,0.99824332,0.645623,0.146556,0.182959,0.068667,YES,PASS
TEST-E,ckpt21_block_12_ffn_residual,2560,0.99824899,0.719467,0.153538,0.192707,0.069580,YES,PASS
TEST-E,ckpt21_block_13_ffn_residual,2560,0.99827080,0.699398,0.160095,0.200427,0.069660,YES,PASS
TEST-E,ckpt21_block_14_ffn_residual,2560,0.99836815,0.719894,0.160549,0.201170,0.067708,YES,PASS
TEST-E,ckpt21_block_15_ffn_residual,2560,0.99836243,0.761605,0.167448,0.210995,0.068676,YES,PASS
TEST-E,ckpt21_block_16_ffn_residual,2560,0.99833254,0.771869,0.176803,0.222363,0.070187,YES,PASS
TEST-E,ckpt21_block_17_ffn_residual,2560,0.99839219,0.772843,0.177411,0.223392,0.068757,YES,PASS
TEST-E,ckpt21_block_18_ffn_residual,2560,0.99838315,0.806529,0.185162,0.233100,0.069706,YES,PASS
TEST-E,ckpt21_block_19_ffn_residual,2560,0.99840556,0.816416,0.190706,0.239941,0.069665,YES,PASS
TEST-E,ckpt21_block_20_ffn_residual,2560,0.99848734,0.809876,0.191667,0.241281,0.067946,YES,PASS
TEST-E,ckpt21_block_21_ffn_residual,2560,0.99846418,0.843830,0.200511,0.251198,0.068793,YES,PASS
TEST-E,ckpt21_block_22_ffn_residual,2560,0.99846199,0.892474,0.206735,0.258807,0.069065,YES,PASS
TEST-E,ckpt21_block_23_ffn_residual,2560,0.99855244,0.856002,0.207260,0.259401,0.066917,YES,PASS
TEST-E,ckpt22_final_norm,2560,0.99855244,0.179618,0.042542,0.053806,0.053806,YES,PASS
TEST-E,ckpt23_lm_head_input,2560,0.99855244,0.179618,0.042542,0.053806,0.053806,YES,PASS
TEST-E,ckpt24_logits,65536,0.99987980,0.135256,0.025126,0.031523,0.015510,YES,PASS
