prompt,checkpoint,dim,cosine,max_abs_err,mean_abs_err,rmse,l2_rel_err,first_divergence,status
TEST-A,ckpt21_block_19_ffn_residual,2560,0.99677107,0.662859,0.148261,0.185825,0.087488,YES,PASS
TEST-A,ckpt21_block_20_ffn_residual,2560,0.99695254,0.670738,0.149019,0.186354,0.085015,YES,PASS
TEST-A,ckpt21_block_21_ffn_residual,2560,0.99696887,0.650548,0.152032,0.190335,0.084926,YES,PASS
TEST-A,ckpt21_block_22_ffn_residual,2560,0.99691121,0.658330,0.156427,0.196371,0.085721,YES,PASS
TEST-A,ckpt21_block_23_ffn_residual,2560,0.99714534,0.640022,0.156988,0.196862,0.082001,YES,PASS
TEST-A,ckpt22_final_norm,2560,0.99714534,0.260108,0.060503,0.075560,0.075560,YES,PASS
TEST-A,ckpt23_lm_head_input,2560,0.99714534,0.260108,0.060503,0.075560,0.075560,YES,PASS
TEST-A,ckpt24_logits,65536,0.99952154,0.233580,0.037800,0.047340,0.032362,YES,PASS
TEST-B,ckpt01_embed,2560,1.00000000,0.000000,0.000000,0.000000,0.000000,NO,PASS
TEST-B,ckpt02_block_00_input,2560,1.00000000,0.000000,0.000000,0.000000,0.000000,NO,PASS
TEST-B,ckpt02_block_01_input,2560,0.99908887,0.149090,0.035971,0.044877,0.042894,YES,PASS
TEST-B,ckpt02_block_02_input,2560,0.99844036,0.230929,0.049523,0.061763,0.056387,YES,PASS
TEST-B,ckpt02_block_03_input,2560,0.99850494,0.235413,0.050913,0.063197,0.055316,YES,PASS
TEST-B,ckpt02_block_04_input,2560,0.99811005,0.272313,0.060409,0.075183,0.062635,YES,PASS
TEST-B,ckpt02_block_05_input,2560,0.99772973,0.286566,0.069511,0.087135,0.069074,YES,PASS
TEST-B,ckpt02_block_06_input,2560,0.99787760,0.295289,0.070234,0.088198,0.066968,YES,PASS
TEST-B,ckpt02_block_07_input,2560,0.99734542,0.367278,0.082881,0.104491,0.075881,YES,PASS
TEST-B,ckpt02_block_08_input,2560,0.99700713,0.481598,0.093381,0.117473,0.081206,YES,PASS
TEST-B,ckpt02_block_09_input,2560,0.99717670,0.484517,0.094114,0.118481,0.078998,YES,PASS
TEST-B,ckpt02_block_10_input,2560,0.99684570,0.557583,0.105572,0.132475,0.084463,YES,PASS
TEST-B,ckpt02_block_11_input,2560,0.99667320,0.546841,0.113330,0.142605,0.087247,YES,PASS
TEST-B,ckpt02_block_12_input,2560,0.99682869,0.563192,0.113973,0.143386,0.085194,YES,PASS
TEST-B,ckpt02_block_13_input,2560,0.99671029,0.574277,0.121399,0.152651,0.087643,YES,PASS
TEST-B,ckpt02_block_14_input,2560,0.99664019,0.613804,0.128074,0.160885,0.089354,YES,PASS
TEST-B,ckpt02_block_15_input,2560,0.99679215,0.652708,0.128652,0.161698,0.087373,YES,PASS
TEST-B,ckpt02_block_16_input,2560,0.99679984,0.705029,0.132610,0.167370,0.087491,YES,PASS
TEST-B,ckpt02_block_17_input,2560,0.99674552,0.683706,0.139668,0.175610,0.088949,YES,PASS
TEST-B,ckpt02_block_18_input,2560,0.99687354,0.700647,0.140543,0.176559,0.087320,YES,PASS
TEST-B,ckpt02_block_19_input,2560,0.99680741,0.698837,0.146388,0.183469,0.088545,YES,PASS
TEST-B,ckpt02_block_20_input,2560,0.99671186,0.726436,0.153944,0.192789,0.090526,YES,PASS
TEST-B,ckpt02_block_21_input,2560,0.99681260,0.739537,0.154635,0.193656,0.089011,YES,PASS
TEST-B,ckpt02_block_22_input,2560,0.99680072,0.753209,0.158879,0.199037,0.089389,YES,PASS
TEST-B,ckpt02_block_23_input,2560,0.99670394,0.809661,0.165334,0.207469,0.091063,YES,PASS
TEST-B,ckpt03_block_00_state_norm,2560,1.00000000,0.000017,0.000004,0.000005,0.000005,YES,PASS
TEST-B,ckpt03_block_01_state_norm,2560,0.99908887,0.140899,0.034222,0.042688,0.042688,YES,PASS
TEST-B,ckpt03_block_03_state_norm,2560,0.99850494,0.209136,0.044182,0.054682,0.054682,YES,PASS
TEST-B,ckpt03_block_04_state_norm,2560,0.99811005,0.228610,0.049428,0.061481,0.061481,YES,PASS
TEST-B,ckpt03_block_12_state_norm,2560,0.99682869,0.354939,0.063207,0.079640,0.079640,YES,PASS
TEST-B,ckpt04_block_00_state_in_proj,5120,0.99997210,0.012700,0.002723,0.003425,0.007472,YES,PASS
TEST-B,ckpt04_block_01_state_in_proj,5120,0.99915221,0.081186,0.014945,0.018808,0.041169,YES,PASS
TEST-B,ckpt04_block_03_state_in_proj,5120,0.99867302,0.086589,0.019031,0.023871,0.051500,YES,PASS
TEST-B,ckpt04_block_04_state_in_proj,5120,0.99831194,0.095554,0.021504,0.026867,0.058109,YES,PASS
TEST-B,ckpt04_block_12_state_in_proj,5120,0.99704987,0.137546,0.028023,0.035058,0.076770,YES,PASS
TEST-B,ckpt05a_block_00_state_gate,2560,0.99997013,0.011829,0.002712,0.003391,0.007730,YES,PASS
TEST-B,ckpt05a_block_01_state_gate,2560,0.99908298,0.081186,0.014837,0.018775,0.042816,YES,PASS
TEST-B,ckpt05a_block_03_state_gate,2560,0.99854157,0.086589,0.019344,0.024336,0.053989,YES,PASS
TEST-B,ckpt05a_block_04_state_gate,2560,0.99828876,0.095554,0.021411,0.026911,0.058481,YES,PASS
TEST-B,ckpt05a_block_12_state_gate,2560,0.99686160,0.127743,0.027826,0.034958,0.079204,YES,PASS
TEST-B,ckpt05b_block_00_state_value,2560,0.99997375,0.012700,0.002734,0.003460,0.007246,YES,PASS
TEST-B,ckpt05b_block_01_state_value,2560,0.99921141,0.075573,0.015053,0.018841,0.039709,YES,PASS
TEST-B,ckpt05b_block_03_state_value,2560,0.99879091,0.084221,0.018719,0.023397,0.049160,YES,PASS
TEST-B,ckpt05b_block_04_state_value,2560,0.99833606,0.089471,0.021598,0.026823,0.057742,YES,PASS
TEST-B,ckpt05b_block_12_state_value,2560,0.99721580,0.137546,0.028219,0.035158,0.074571,YES,PASS
TEST-B,ckpt06_block_00_state_conv,2560,0.54412967,1.969614,0.278223,0.368362,0.944726,YES,DIVERGED
TEST-B,ckpt06_block_01_state_conv,2560,0.56533627,1.500228,0.270808,0.356645,0.932956,YES,DIVERGED
TEST-B,ckpt06_block_03_state_conv,2560,0.54402478,1.658229,0.278586,0.367853,0.956524,YES,DIVERGED
TEST-B,ckpt06_block_04_state_conv,2560,0.55998239,1.758441,0.269998,0.357062,0.936423,YES,DIVERGED
TEST-B,ckpt06_block_12_state_conv,2560,0.54304169,1.476268,0.283133,0.372341,0.969414,YES,DIVERGED
TEST-B,ckpt07_block_00_state_silu,2560,0.99997131,0.009355,0.001358,0.001835,0.007588,YES,PASS
TEST-B,ckpt07_block_01_state_silu,2560,0.99912623,0.052957,0.007371,0.010041,0.041794,YES,PASS
TEST-B,ckpt07_block_03_state_silu,2560,0.99854085,0.062196,0.009714,0.013233,0.054028,YES,PASS
TEST-B,ckpt07_block_04_state_silu,2560,0.99835423,0.066762,0.010552,0.014222,0.057353,YES,PASS
TEST-B,ckpt07_block_12_state_silu,2560,0.99683680,0.121850,0.013706,0.018643,0.079599,YES,PASS
TEST-B,ckpt08_block_00_state_gated,2560,0.44847788,1.482639,0.051086,0.099971,1.031417,YES,DIVERGED
TEST-B,ckpt08_block_01_state_gated,2560,0.50850583,1.163053,0.049782,0.094805,0.963270,YES,DIVERGED
TEST-B,ckpt08_block_03_state_gated,2560,0.60558720,0.934554,0.050794,0.086801,0.858474,YES,DIVERGED
TEST-B,ckpt08_block_04_state_gated,2560,0.65006919,1.102989,0.049739,0.089740,0.805118,YES,DIVERGED
TEST-B,ckpt08_block_12_state_gated,2560,0.52634647,0.845793,0.050827,0.091371,0.938258,YES,DIVERGED
TEST-B,ckpt09_block_00_state_out_proj,2560,0.48010609,0.146020,0.035692,0.044541,0.991617,YES,DIVERGED
TEST-B,ckpt09_block_01_state_out_proj,2560,0.55472239,0.150975,0.033255,0.041547,0.908270,YES,DIVERGED
TEST-B,ckpt09_block_03_state_out_proj,2560,0.63895455,0.149606,0.030033,0.037429,0.822539,YES,DIVERGED
TEST-B,ckpt09_block_04_state_out_proj,2560,0.68364616,0.147745,0.031610,0.039709,0.755661,YES,DIVERGED
TEST-B,ckpt09_block_12_state_out_proj,2560,0.54477839,0.150884,0.032083,0.040385,0.897945,YES,DIVERGED
TEST-B,ckpt10_block_00_state_residual,2560,0.99904760,0.146020,0.035692,0.044541,0.043822,YES,PASS
TEST-B,ckpt10_block_01_state_residual,2560,0.99832650,0.233135,0.049252,0.061485,0.058263,YES,PASS
TEST-B,ckpt10_block_03_state_residual,2560,0.99795688,0.273663,0.060160,0.074853,0.064957,YES,PASS
TEST-B,ckpt10_block_04_state_residual,2560,0.99753539,0.290330,0.069420,0.086980,0.071803,YES,PASS
TEST-B,ckpt10_block_12_state_residual,2560,0.99650772,0.572364,0.121365,0.152564,0.089989,YES,PASS
TEST-B,ckpt11_block_02_gqa_norm,2560,0.99844036,0.198146,0.044976,0.055850,0.055850,YES,PASS
TEST-B,ckpt11_block_05_gqa_norm,2560,0.99772973,0.233209,0.053967,0.067383,0.067383,YES,PASS
TEST-B,ckpt11_block_23_gqa_norm,2560,0.99670394,0.335563,0.064610,0.081192,0.081192,YES,PASS
TEST-B,ckpt12a_block_02_gqa_q,2560,0.99843376,0.108374,0.019478,0.024517,0.056059,YES,PASS
TEST-B,ckpt12a_block_05_gqa_q,2560,0.99778107,0.113118,0.023621,0.029774,0.066639,YES,PASS
TEST-B,ckpt12a_block_23_gqa_q,2560,0.99701268,0.122650,0.028036,0.035154,0.077383,YES,PASS
TEST-B,ckpt12b_block_02_gqa_k,512,0.99854753,0.074012,0.018958,0.023814,0.053935,YES,PASS
TEST-B,ckpt12b_block_05_gqa_k,512,0.99760200,0.093048,0.024912,0.030729,0.069212,YES,PASS
TEST-B,ckpt12b_block_23_gqa_k,512,0.99718834,0.102062,0.026968,0.033951,0.074937,YES,PASS
TEST-B,ckpt12c_block_02_gqa_v,512,0.99847564,0.061939,0.019661,0.024013,0.055236,YES,PASS
TEST-B,ckpt12c_block_05_gqa_v,512,0.99810376,0.103173,0.023457,0.029019,0.061639,YES,PASS
TEST-B,ckpt12c_block_23_gqa_v,512,0.99778911,0.115453,0.028516,0.035758,0.066512,YES,PASS
TEST-B,ckpt13_block_02_gqa_attention,2560,0.99143680,0.090131,0.023326,0.029068,0.131441,YES,PASS
TEST-B,ckpt13_block_05_gqa_attention,2560,0.99110448,0.092512,0.023976,0.029644,0.133546,YES,PASS
TEST-B,ckpt13_block_23_gqa_attention,2560,0.99196484,0.106099,0.028161,0.035076,0.127292,YES,PASS
TEST-B,ckpt14_block_02_gqa_out_proj,2560,0.99192439,0.043314,0.010125,0.012697,0.127343,YES,PASS
TEST-B,ckpt14_block_05_gqa_out_proj,2560,0.99199387,0.049730,0.010029,0.012632,0.126926,YES,PASS
TEST-B,ckpt14_block_23_gqa_out_proj,2560,0.99771053,0.056643,0.012564,0.015705,0.069687,YES,PASS
TEST-B,ckpt15_block_02_gqa_residual,2560,0.99838884,0.238751,0.050749,0.063079,0.057297,YES,PASS
TEST-B,ckpt15_block_05_gqa_residual,2560,0.99772035,0.288953,0.070055,0.087856,0.069269,YES,PASS
TEST-B,ckpt15_block_23_gqa_residual,2560,0.99676122,0.796754,0.165870,0.207845,0.089973,YES,PASS
TEST-B,ckpt16_block_00_ffn_norm,2560,0.99904760,0.142255,0.035015,0.043644,0.043644,YES,PASS
TEST-B,ckpt16_block_01_ffn_norm,2560,0.99832650,0.209017,0.046473,0.057853,0.057853,YES,PASS
TEST-B,ckpt16_block_02_ffn_norm,2560,0.99838884,0.216313,0.045778,0.056765,0.056765,YES,PASS
TEST-B,ckpt16_block_03_ffn_norm,2560,0.99795688,0.242052,0.051365,0.063924,0.063924,YES,PASS
TEST-B,ckpt16_block_04_ffn_norm,2560,0.99753539,0.252163,0.056235,0.070208,0.070208,YES,PASS
TEST-B,ckpt16_block_05_ffn_norm,2560,0.99772035,0.238104,0.054102,0.067522,0.067522,YES,PASS
TEST-B,ckpt16_block_12_ffn_norm,2560,0.99650772,0.329947,0.066939,0.083574,0.083574,YES,PASS
TEST-B,ckpt16_block_23_ffn_norm,2560,0.99676122,0.326980,0.063869,0.080483,0.080483,YES,PASS
TEST-B,ckpt17_block_00_ffn_gate,6912,0.99907627,0.077587,0.015182,0.019072,0.042990,YES,PASS
TEST-B,ckpt17_block_01_ffn_gate,6912,0.99842646,0.118347,0.020456,0.025723,0.056124,YES,PASS
TEST-B,ckpt17_block_02_ffn_gate,6912,0.99846238,0.087428,0.020044,0.025101,0.055461,YES,PASS
TEST-B,ckpt17_block_03_ffn_gate,6912,0.99808833,0.105130,0.022345,0.028005,0.061804,YES,PASS
TEST-B,ckpt17_block_04_ffn_gate,6912,0.99774486,0.113333,0.024218,0.030609,0.067221,YES,PASS
TEST-B,ckpt17_block_05_ffn_gate,6912,0.99787131,0.101571,0.023431,0.029380,0.065234,YES,PASS
TEST-B,ckpt17_block_12_ffn_gate,6912,0.99667609,0.146488,0.029221,0.036665,0.081517,YES,PASS
TEST-B,ckpt17_block_23_ffn_gate,6912,0.99677386,0.139171,0.028548,0.035706,0.080340,YES,PASS
TEST-B,ckpt18_block_00_ffn_up,6912,0.99908759,0.072069,0.015309,0.019165,0.042711,YES,PASS
TEST-B,ckpt18_block_01_ffn_up,6912,0.99837025,0.095959,0.020368,0.025569,0.057141,YES,PASS
TEST-B,ckpt18_block_02_ffn_up,6912,0.99851668,0.103141,0.019784,0.024813,0.054491,YES,PASS
TEST-B,ckpt18_block_03_ffn_up,6912,0.99802890,0.110801,0.022221,0.028128,0.062819,YES,PASS
TEST-B,ckpt18_block_04_ffn_up,6912,0.99763832,0.125257,0.024955,0.031271,0.068735,YES,PASS
TEST-B,ckpt18_block_05_ffn_up,6912,0.99776069,0.129335,0.023935,0.029946,0.066937,YES,PASS
TEST-B,ckpt18_block_12_ffn_up,6912,0.99674382,0.127757,0.029345,0.036801,0.080684,YES,PASS
TEST-B,ckpt18_block_23_ffn_up,6912,0.99681104,0.154096,0.027884,0.034967,0.079900,YES,PASS
TEST-B,ckpt19_block_00_ffn_activation,6912,0.99901940,0.070787,0.004301,0.006637,0.044286,YES,PASS
TEST-B,ckpt19_block_01_ffn_activation,6912,0.99844290,0.088389,0.005806,0.009241,0.055828,YES,PASS
TEST-B,ckpt19_block_02_ffn_activation,6912,0.99841187,0.143868,0.005713,0.009218,0.056466,YES,PASS
TEST-B,ckpt19_block_03_ffn_activation,6912,0.99817992,0.139660,0.006296,0.010120,0.060319,YES,PASS
TEST-B,ckpt19_block_04_ffn_activation,6912,0.99770926,0.115855,0.007038,0.011189,0.067778,YES,PASS
TEST-B,ckpt19_block_05_ffn_activation,6912,0.99776864,0.249706,0.006799,0.011242,0.067479,YES,PASS
TEST-B,ckpt19_block_12_ffn_activation,6912,0.99589065,0.112204,0.008432,0.013011,0.090585,YES,PASS
TEST-B,ckpt19_block_23_ffn_activation,6912,0.99367316,0.125886,0.007499,0.011194,0.112400,YES,PASS
TEST-B,ckpt20_block_00_ffn_down,2560,0.99896337,0.016404,0.003331,0.004158,0.045535,YES,PASS
TEST-B,ckpt20_block_01_ffn_down,2560,0.99879744,0.020660,0.004066,0.005105,0.049028,YES,PASS
TEST-B,ckpt20_block_02_ffn_down,2560,0.99876048,0.017204,0.004019,0.005007,0.049884,YES,PASS
TEST-B,ckpt20_block_03_ffn_down,2560,0.99809304,0.024126,0.005044,0.006297,0.061776,YES,PASS
TEST-B,ckpt20_block_04_ffn_down,2560,0.99830748,0.022712,0.004790,0.006000,0.058274,YES,PASS
TEST-B,ckpt20_block_05_ffn_down,2560,0.99804246,0.027223,0.005023,0.006313,0.062981,YES,PASS
TEST-B,ckpt20_block_12_ffn_down,2560,0.99742178,0.023750,0.004909,0.006180,0.071765,YES,PASS
TEST-B,ckpt20_block_23_ffn_down,2560,0.99494046,0.019333,0.004039,0.005038,0.100472,YES,PASS
TEST-B,ckpt21_block_00_ffn_residual,2560,0.99908887,0.149090,0.035971,0.044877,0.042894,YES,PASS
TEST-B,ckpt21_block_01_ffn_residual,2560,0.99844036,0.230929,0.049523,0.061763,0.056387,YES,PASS
TEST-B,ckpt21_block_02_ffn_residual,2560,0.99850494,0.235413,0.050913,0.063197,0.055316,YES,PASS
TEST-B,ckpt21_block_03_ffn_residual,2560,0.99811005,0.272313,0.060409,0.075183,0.062635,YES,PASS
TEST-B,ckpt21_block_04_ffn_residual,2560,0.99772973,0.286566,0.069511,0.087135,0.069074,YES,PASS
TEST-B,ckpt21_block_05_ffn_residual,2560,0.99787760,0.295289,0.070234,0.088198,0.066968,YES,PASS
TEST-B,ckpt21_block_06_ffn_residual,2560,0.99734542,0.367278,0.082881,0.104491,0.075881,YES,PASS
TEST-B,ckpt21_block_07_ffn_residual,2560,0.99700713,0.481598,0.093381,0.117473,0.081206,YES,PASS
TEST-B,ckpt21_block_08_ffn_residual,2560,0.99717670,0.484517,0.094114,0.118481,0.078998,YES,PASS
TEST-B,ckpt21_block_09_ffn_residual,2560,0.99684570,0.557583,0.105572,0.132475,0.084463,YES,PASS
TEST-B,ckpt21_block_10_ffn_residual,2560,0.99667320,0.546841,0.113330,0.142605,0.087247,YES,PASS
TEST-B,ckpt21_block_11_ffn_residual,2560,0.99682869,0.563192,0.113973,0.143386,0.085194,YES,PASS
TEST-B,ckpt21_block_12_ffn_residual,2560,0.99671029,0.574277,0.121399,0.152651,0.087643,YES,PASS
TEST-B,ckpt21_block_13_ffn_residual,2560,0.99664019,0.613804,0.128074,0.160885,0.089354,YES,PASS
TEST-B,ckpt21_block_14_ffn_residual,2560,0.99679215,0.652708,0.128652,0.161698,0.087373,YES,PASS
TEST-B,ckpt21_block_15_ffn_residual,2560,0.99679984,0.705029,0.132610,0.167370,0.087491,YES,PASS
TEST-B,ckpt21_block_16_ffn_residual,2560,0.99674552,0.683706,0.139668,0.175610,0.088949,YES,PASS
TEST-B,ckpt21_block_17_ffn_residual,2560,0.99687354,0.700647,0.140543,0.176559,0.087320,YES,PASS
TEST-B,ckpt21_block_18_ffn_residual,2560,0.99680741,0.698837,0.146388,0.183469,0.088545,YES,PASS
TEST-B,ckpt21_block_19_ffn_residual,2560,0.99671186,0.726436,0.153944,0.192789,0.090526,YES,PASS
TEST-B,ckpt21_block_20_ffn_residual,2560,0.99681260,0.739537,0.154635,0.193656,0.089011,YES,PASS
TEST-B,ckpt21_block_21_ffn_residual,2560,0.99680072,0.753209,0.158879,0.199037,0.089389,YES,PASS
TEST-B,ckpt21_block_22_ffn_residual,2560,0.99670394,0.809661,0.165334,0.207469,0.091063,YES,PASS
TEST-B,ckpt21_block_23_ffn_residual,2560,0.99681331,0.801981,0.165968,0.207921,0.089260,YES,PASS
TEST-B,ckpt22_final_norm,2560,0.99681331,0.323402,0.063395,0.079833,0.079833,YES,PASS
TEST-B,ckpt23_lm_head_input,2560,0.99681331,0.323402,0.063395,0.079833,0.079833,YES,PASS
TEST-B,ckpt24_logits,65536,0.99929120,0.265435,0.037883,0.047456,0.038204,YES,PASS
TEST-C,ckpt01_embed,2560,1.00000000,0.000000,0.000000,0.000000,0.000000,NO,PASS
TEST-C,ckpt02_block_00_input,2560,1.00000000,0.000000,0.000000,0.000000,0.000000,NO,PASS
TEST-C,ckpt02_block_01_input,2560,0.99899581,0.171706,0.037618,0.046901,0.044865,YES,PASS
TEST-C,ckpt02_block_02_input,2560,0.99833348,0.211157,0.050718,0.063299,0.057952,YES,PASS
TEST-C,ckpt02_block_03_input,2560,0.99841605,0.223566,0.051525,0.064319,0.056589,YES,PASS
TEST-C,ckpt02_block_04_input,2560,0.99803437,0.269742,0.060046,0.075328,0.063195,YES,PASS
TEST-C,ckpt02_block_05_input,2560,0.99766283,0.296412,0.069272,0.086462,0.069080,YES,PASS
TEST-C,ckpt02_block_06_input,2560,0.99782273,0.300952,0.069795,0.087002,0.066768,YES,PASS
TEST-C,ckpt02_block_07_input,2560,0.99729755,0.349894,0.081853,0.101974,0.074911,YES,PASS
TEST-C,ckpt02_block_08_input,2560,0.99689608,0.392674,0.092233,0.115212,0.080620,YES,PASS
TEST-C,ckpt02_block_09_input,2560,0.99709361,0.404018,0.092975,0.115928,0.078147,YES,PASS
TEST-C,ckpt02_block_10_input,2560,0.99686933,0.455558,0.101331,0.127035,0.081885,YES,PASS
TEST-C,ckpt02_block_11_input,2560,0.99663609,0.529965,0.109423,0.136975,0.084838,YES,PASS
TEST-C,ckpt02_block_12_input,2560,0.99681124,0.537113,0.109574,0.137403,0.082702,YES,PASS
TEST-C,ckpt02_block_13_input,2560,0.99670355,0.521855,0.116515,0.145631,0.084661,YES,PASS
TEST-C,ckpt02_block_14_input,2560,0.99662374,0.533267,0.122635,0.152910,0.085999,YES,PASS
TEST-C,ckpt02_block_15_input,2560,0.99675682,0.540717,0.123440,0.153936,0.084360,YES,PASS
TEST-C,ckpt02_block_16_input,2560,0.99669594,0.621865,0.129724,0.161758,0.085617,YES,PASS
TEST-C,ckpt02_block_17_input,2560,0.99665465,0.638458,0.134467,0.168041,0.086241,YES,PASS
TEST-C,ckpt02_block_18_input,2560,0.99680133,0.631301,0.134951,0.168629,0.084351,YES,PASS
TEST-C,ckpt02_block_19_input,2560,0.99669574,0.640181,0.141182,0.176522,0.086110,YES,PASS
TEST-C,ckpt02_block_20_input,2560,0.99667617,0.619035,0.146147,0.182327,0.086576,YES,PASS
TEST-C,ckpt02_block_21_input,2560,0.99679206,0.638898,0.146708,0.182927,0.085056,YES,PASS
TEST-C,ckpt02_block_22_input,2560,0.99677074,0.671427,0.150749,0.188397,0.085562,YES,PASS
TEST-C,ckpt02_block_23_input,2560,0.99669241,0.702186,0.155870,0.195633,0.086821,YES,PASS
TEST-C,ckpt03_block_00_state_norm,2560,1.00000000,0.000017,0.000004,0.000005,0.000005,YES,PASS
TEST-C,ckpt03_block_01_state_norm,2560,0.99899581,0.167060,0.035890,0.044815,0.044815,YES,PASS
TEST-C,ckpt03_block_03_state_norm,2560,0.99841605,0.194817,0.045132,0.056284,0.056284,YES,PASS
TEST-C,ckpt03_block_04_state_norm,2560,0.99803437,0.220091,0.050014,0.062700,0.062700,YES,PASS
TEST-C,ckpt03_block_12_state_norm,2560,0.99681124,0.299741,0.063666,0.079859,0.079859,YES,PASS
TEST-C,ckpt04_block_00_state_in_proj,5120,0.99997210,0.012700,0.002723,0.003425,0.007472,YES,PASS
TEST-C,ckpt04_block_01_state_in_proj,5120,0.99902228,0.109625,0.016148,0.020189,0.044211,YES,PASS
TEST-C,ckpt04_block_03_state_in_proj,5120,0.99860495,0.093269,0.019619,0.024535,0.052813,YES,PASS
TEST-C,ckpt04_block_04_state_in_proj,5120,0.99824986,0.113368,0.021738,0.027355,0.059150,YES,PASS
TEST-C,ckpt04_block_12_state_in_proj,5120,0.99710282,0.121145,0.027867,0.034687,0.076115,YES,PASS
TEST-C,ckpt05a_block_00_state_gate,2560,0.99997013,0.011829,0.002712,0.003391,0.007730,YES,PASS
TEST-C,ckpt05a_block_01_state_gate,2560,0.99895327,0.109625,0.016070,0.020063,0.045749,YES,PASS
TEST-C,ckpt05a_block_03_state_gate,2560,0.99847438,0.093269,0.019987,0.024950,0.055225,YES,PASS
TEST-C,ckpt05a_block_04_state_gate,2560,0.99821521,0.113368,0.021859,0.027478,0.059719,YES,PASS
TEST-C,ckpt05a_block_12_state_gate,2560,0.99686219,0.121145,0.028269,0.034986,0.079194,YES,PASS
TEST-C,ckpt05b_block_00_state_value,2560,0.99997375,0.012700,0.002734,0.003460,0.007246,YES,PASS
TEST-C,ckpt05b_block_01_state_value,2560,0.99908149,0.072835,0.016226,0.020314,0.042851,YES,PASS
TEST-C,ckpt05b_block_03_state_value,2560,0.99872207,0.083041,0.019252,0.024114,0.050552,YES,PASS
TEST-C,ckpt05b_block_04_state_value,2560,0.99828487,0.093896,0.021616,0.027230,0.058586,YES,PASS
TEST-C,ckpt05b_block_12_state_value,2560,0.99731615,0.115437,0.027466,0.034385,0.073279,YES,PASS
TEST-C,ckpt06_block_00_state_conv,2560,0.55205085,1.758997,0.276354,0.364712,0.942471,YES,DIVERGED
TEST-C,ckpt06_block_01_state_conv,2560,0.54979583,1.707896,0.278636,0.367898,0.954217,YES,DIVERGED
TEST-C,ckpt06_block_03_state_conv,2560,0.55437407,2.202508,0.278057,0.365536,0.944820,YES,DIVERGED
TEST-C,ckpt06_block_04_state_conv,2560,0.51457512,2.011266,0.287866,0.382337,0.991936,YES,DIVERGED
TEST-C,ckpt06_block_12_state_conv,2560,0.55973618,1.847156,0.275466,0.362170,0.943757,YES,DIVERGED
TEST-C,ckpt07_block_00_state_silu,2560,0.99997131,0.009355,0.001358,0.001835,0.007588,YES,PASS
TEST-C,ckpt07_block_01_state_silu,2560,0.99899198,0.048031,0.008086,0.010803,0.044938,YES,PASS
TEST-C,ckpt07_block_03_state_silu,2560,0.99848291,0.067770,0.010070,0.013497,0.055063,YES,PASS
TEST-C,ckpt07_block_04_state_silu,2560,0.99819285,0.075762,0.010816,0.014869,0.060136,YES,PASS
TEST-C,ckpt07_block_12_state_silu,2560,0.99694218,0.088640,0.013920,0.018472,0.078264,YES,PASS
TEST-C,ckpt08_block_00_state_gated,2560,0.41017348,1.704093,0.051402,0.106682,1.099678,YES,DIVERGED
TEST-C,ckpt08_block_01_state_gated,2560,0.49338541,1.080255,0.050969,0.094561,0.988982,YES,DIVERGED
TEST-C,ckpt08_block_03_state_gated,2560,0.57418345,0.702306,0.052734,0.090701,0.921658,YES,DIVERGED
TEST-C,ckpt08_block_04_state_gated,2560,0.55581732,1.240080,0.052228,0.096072,0.924052,YES,DIVERGED
TEST-C,ckpt08_block_12_state_gated,2560,0.57755685,1.233973,0.049743,0.092030,0.887260,YES,DIVERGED
TEST-C,ckpt09_block_00_state_out_proj,2560,0.45440968,0.169901,0.037341,0.046717,1.049337,YES,DIVERGED
TEST-C,ckpt09_block_01_state_out_proj,2560,0.51332978,0.161976,0.033256,0.041649,0.955137,YES,DIVERGED
TEST-C,ckpt09_block_03_state_out_proj,2560,0.61029777,0.158494,0.031160,0.039354,0.877458,YES,DIVERGED
TEST-C,ckpt09_block_04_state_out_proj,2560,0.59465885,0.158063,0.032955,0.041678,0.868909,YES,DIVERGED
TEST-C,ckpt09_block_12_state_out_proj,2560,0.58263343,0.140515,0.033087,0.041248,0.871243,YES,DIVERGED
TEST-C,ckpt10_block_00_state_residual,2560,0.99894322,0.169901,0.037341,0.046717,0.046003,YES,PASS
TEST-C,ckpt10_block_01_state_residual,2560,0.99821989,0.208343,0.050483,0.062962,0.059823,YES,PASS
TEST-C,ckpt10_block_03_state_residual,2560,0.99786877,0.265788,0.059899,0.075198,0.065724,YES,PASS
TEST-C,ckpt10_block_04_state_residual,2560,0.99746534,0.306035,0.069125,0.086281,0.071820,YES,PASS
TEST-C,ckpt10_block_12_state_residual,2560,0.99651266,0.522882,0.116277,0.145337,0.086880,YES,PASS
TEST-C,ckpt11_block_02_gqa_norm,2560,0.99833348,0.195495,0.046374,0.057732,0.057732,YES,PASS
TEST-C,ckpt11_block_05_gqa_norm,2560,0.99766283,0.241343,0.054712,0.068369,0.068369,YES,PASS
TEST-C,ckpt11_block_23_gqa_norm,2560,0.99669241,0.285314,0.064703,0.081334,0.081334,YES,PASS
TEST-C,ckpt12a_block_02_gqa_q,2560,0.99821965,0.086765,0.021116,0.026105,0.059696,YES,PASS
TEST-C,ckpt12a_block_05_gqa_q,2560,0.99783113,0.108098,0.023514,0.029417,0.065827,YES,PASS
TEST-C,ckpt12a_block_23_gqa_q,2560,0.99697517,0.138630,0.028245,0.035267,0.077802,YES,PASS
