tensor_name,family,shape,numel,dtype,trainable
layers.9.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.9.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.9.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.9.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.9.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.9.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.9.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.10.mixer.conv1d.weight,state_mixer,"[2560, 1, 4]",10240,float32,True
layers.10.mixer.conv1d.bias,state_mixer,[2560],2560,float32,True
layers.10.mixer.in_proj.weight,state_mixer,"[5120, 2560]",13107200,float32,True
layers.10.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.10.mixer.norm.weight,state_mixer,[2560],2560,float32,True
layers.10.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.10.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.10.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.10.ffn.norm.weight,ffn,[2560],2560,float32,True
layers.11.mixer.q_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.11.mixer.k_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.11.mixer.v_proj.weight,gqa_mixer,"[512, 2560]",1310720,float32,True
layers.11.mixer.out_proj.weight,gqa_mixer,"[2560, 2560]",6553600,float32,True
layers.11.mixer.norm.weight,gqa_mixer,[2560],2560,float32,True
layers.11.ffn.gate_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.11.ffn.up_proj.weight,ffn,"[6912, 2560]",17694720,float32,True
layers.11.ffn.down_proj.weight,ffn,"[2560, 6912]",17694720,float32,True
layers.11.ffn.norm.weight,ffn,[2560],2560,float32,True
